time,u,y
4.704704704704704810e+00,2.900000000000000000e+02,3.128614790575558686e+02
4.804804804804804874e+00,2.900000000000000000e+02,3.127867350775865702e+02
4.904904904904904939e+00,2.900000000000000000e+02,3.126667085186248300e+02
5.005005005005005003e+00,2.900000000000000000e+02,3.127934508829645210e+02
5.105105105105105068e+00,2.900000000000000000e+02,3.127230356859417384e+02
5.205205205205205132e+00,2.900000000000000000e+02,3.125707126112749847e+02
5.305305305305305197e+00,2.900000000000000000e+02,3.124425268892581471e+02
5.405405405405406150e+00,2.900000000000000000e+02,3.123558525680531375e+02
5.505505505505506214e+00,2.900000000000000000e+02,3.124220380653211464e+02
5.605605605605606279e+00,2.900000000000000000e+02,3.123349468248285916e+02
5.705705705705706343e+00,2.900000000000000000e+02,3.123176185805720593e+02
5.805805805805806408e+00,2.900000000000000000e+02,3.124270769515855477e+02
5.905905905905906472e+00,2.900000000000000000e+02,3.124551624666966632e+02
6.006006006006006537e+00,2.900000000000000000e+02,3.126166568052728962e+02
6.106106106106106601e+00,2.900000000000000000e+02,3.127246282374428006e+02
6.206206206206206666e+00,2.900000000000000000e+02,3.128249672085216844e+02
6.306306306306306730e+00,2.900000000000000000e+02,3.129918487951077282e+02
6.406406406406406795e+00,2.900000000000000000e+02,3.128505782814637541e+02
6.506506506506506859e+00,2.900000000000000000e+02,3.128185506243350460e+02
6.606606606606606924e+00,2.900000000000000000e+02,3.127571425276526043e+02
6.706706706706706989e+00,2.900000000000000000e+02,3.128191484569987324e+02
6.806806806806807053e+00,2.900000000000000000e+02,3.127762067331145204e+02
6.906906906906907118e+00,2.900000000000000000e+02,3.129035000391445465e+02
7.007007007007007182e+00,2.900000000000000000e+02,3.128428633876793015e+02
7.107107107107107247e+00,2.900000000000000000e+02,3.127488324179424808e+02
7.207207207207207311e+00,2.900000000000000000e+02,3.126341996814298909e+02
7.307307307307307376e+00,2.900000000000000000e+02,3.125974820149425568e+02
7.407407407407407440e+00,2.900000000000000000e+02,3.126509966717076736e+02
7.507507507507508393e+00,2.900000000000000000e+02,3.127811218923370120e+02
7.607607607607608458e+00,2.900000000000000000e+02,3.127332561070811039e+02
7.707707707707708522e+00,2.900000000000000000e+02,3.126052811577727653e+02
7.807807807807808587e+00,2.900000000000000000e+02,3.125564162999005475e+02
7.907907907907908651e+00,2.900000000000000000e+02,3.125494782622540129e+02
8.008008008008008716e+00,2.900000000000000000e+02,3.125331790530532317e+02
8.108108108108108780e+00,2.900000000000000000e+02,3.126357062754372578e+02
8.208208208208208845e+00,2.900000000000000000e+02,3.126536199100173121e+02
8.308308308308308909e+00,2.900000000000000000e+02,3.124982056144217495e+02
8.408408408408408974e+00,2.900000000000000000e+02,3.124944614411206771e+02
8.508508508508509038e+00,2.900000000000000000e+02,3.125362609918640260e+02
8.608608608608609103e+00,2.900000000000000000e+02,3.125257442504283176e+02
8.708708708708709167e+00,2.900000000000000000e+02,3.124548744952618904e+02
8.808808808808809232e+00,2.900000000000000000e+02,3.125249773837969087e+02
8.908908908908909297e+00,2.900000000000000000e+02,3.125062890225884189e+02
9.009009009009009361e+00,2.900000000000000000e+02,3.125327127909454816e+02
9.109109109109109426e+00,2.900000000000000000e+02,3.125383077724964096e+02
9.209209209209209490e+00,2.900000000000000000e+02,3.125809574545567671e+02
9.309309309309309555e+00,2.900000000000000000e+02,3.124619866233643393e+02
9.409409409409409619e+00,2.900000000000000000e+02,3.125078711302052170e+02
9.509509509509509684e+00,2.900000000000000000e+02,3.124554265015374881e+02
9.609609609609609748e+00,2.900000000000000000e+02,3.124636709364042986e+02
9.709709709709709813e+00,2.900000000000000000e+02,3.125925769451851011e+02
9.809809809809809877e+00,2.900000000000000000e+02,3.125592787804478121e+02
9.909909909909909942e+00,2.900000000000000000e+02,3.125666527688743486e+02
1.001001001001001001e+01,2.900000000000000000e+02,3.124257547248819264e+02
1.011011011011011007e+01,2.900000000000000000e+02,3.126727588661415780e+02
1.021021021021021014e+01,2.900000000000000000e+02,3.125581923252236152e+02
1.031031031031031020e+01,2.900000000000000000e+02,3.126612291277347708e+02
1.041041041041041026e+01,2.900000000000000000e+02,3.126868392590160397e+02
1.051051051051051033e+01,2.900000000000000000e+02,3.127316770690590033e+02
1.061061061061061039e+01,2.900000000000000000e+02,3.127924521620396376e+02
1.071071071071071223e+01,2.900000000000000000e+02,3.127922698571654223e+02
1.081081081081081230e+01,2.900000000000000000e+02,3.126826908131764071e+02
1.091091091091091236e+01,2.900000000000000000e+02,3.126363560290394616e+02
1.101101101101101243e+01,2.900000000000000000e+02,3.125364529020256441e+02
1.111111111111111249e+01,2.900000000000000000e+02,3.125042214500407454e+02
1.121121121121121256e+01,2.900000000000000000e+02,3.125504946250292164e+02
1.131131131131131262e+01,2.900000000000000000e+02,3.125525731409500168e+02
1.141141141141141269e+01,2.900000000000000000e+02,3.124560683909348313e+02
1.151151151151151275e+01,2.900000000000000000e+02,3.125503798435025828e+02
